1-ы Асенні завулак;1;1-й Осенний переулок;53.908472;27.563827
1-ы Асенні завулак;2;1-й Осенний переулок;53.908472;27.563827
1-ы Асенні завулак;11;1-й Осенний переулок;53.908472;27.563827
1-ы Асенні завулак;12;1-й Осенний переулок;53.908472;27.563827
1-ы Аэрафлоцкі завулак;5;1-й Аэрофлотский переулок;53.902500;27.578900
1-ы Аэрафлоцкі завулак;3;1-й Аэрофлотский переулок;53.902500;27.578900
1-ы Аэрафлоцкі завулак;9;1-й Аэрофлотский переулок;53.902500;27.578900
1-ы Аэрафлоцкі завулак;7;1-й Аэрофлотский переулок;53.902500;27.578900
1-ы Аэрафлоцкі завулак;17;1-й Аэрофлотский переулок;53.902500;27.578900
1-ы Аэрафлоцкі завулак;6;1-й Аэрофлотский переулок;53.902500;27.578900
1-ы Аэрафлоцкі завулак;19;1-й Аэрофлотский переулок;53.902500;27.578900
1-ы Аэрафлоцкі завулак;15;1-й Аэрофлотский переулок;53.902500;27.578900
1-ы Аэрафлоцкі завулак;4 к1;1-й Аэрофлотский переулок;53.902500;27.578900
1-ы Аэрафлоцкі завулак;4;1-й Аэрофлотский переулок;53.902500;27.578900
1-ы Аэрафлоцкі завулак;14;1-й Аэрофлотский переулок;53.902500;27.578900
1-ы Аэрафлоцкі завулак;27;1-й Аэрофлотский переулок;53.902500;27.578900
1-ы Аэрафлоцкі завулак;12;1-й Аэрофлотский переулок;53.902500;27.578900
1-ы Аэрафлоцкі завулак;10;1-й Аэрофлотский переулок;53.902500;27.578900
1-ы Аэрафлоцкі завулак;25;1-й Аэрофлотский переулок;53.902500;27.578900
1-ы Аэрафлоцкі завулак;8;1-й Аэрофлотский переулок;53.902500;27.578900
1-ы Брагінскі завулак;43;1-й Брагинский переулок;53.895000;27.555000
1-ы Брэсцкі завулак;1;1-й Брестский переулок;53.896500;27.548000
1-ы Брэсцкі завулак;12;1-й Брестский переулок;53.896500;27.548000
1-ы Брэсцкі завулак;16;1-й Брестский переулок;53.896500;27.548000
1-ы Брэсцкі завулак;13;1-й Брестский переулок;53.896500;27.548000
1-ы Брэсцкі завулак;18;1-й Брестский переулок;53.896500;27.548000
1-ы Брэсцкі завулак;15;1-й Брестский переулок;53.896500;27.548000
1-ы Брэсцкі завулак;5А;1-й Брестский переулок;53.896500;27.548000
1-ы Брэсцкі завулак;26;1-й Брестский переулок;53.896500;27.548000
